Name,Description,Block
RDSQ,reciprocal distance sum inverse Randic-like index,Connectivity indices
X1Kup,Kupchik connectivity index,Connectivity indices
X1Mad,connectivity topochemical index,Connectivity indices
X1Per,perturbation connectivity index,Connectivity indices
X1MulPer,multiplicative perturbation connectivity index,Connectivity indices
ISIZ,information index on molecular size,Information indices
IAC,total information index on atomic composition,Information indices
AAC,mean information index on atomic composition,Information indices
IDE,mean information content on the distance equality,Information indices
IDM,mean information content on the distance magnitude,Information indices
IDDE,mean information content on the distance degree equality,Information indices
IDDM,mean information content on the distance degree magnitude,Information indices
IDET,total information content on the distance equality,Information indices
IDMT,total information content on the distance magnitude,Information indices
IVDE,mean information content on the vertex degree equality,Information indices
IVDM,mean information content on the vertex degree magnitude,Information indices
Ges,Number of symmetry classes (based on electrotopological state),Information indices
rGes,Relative number of symmetry classes (based on electrotopological state),Information indices
S0K,Kier symmetry index,Information indices
HVcpx,graph vertex complexity index,Information indices
HDcpx,graph distance complexity index (log function),Information indices
Uindex,Balaban U index,Information indices
Vindex,Balaban V index,Information indices
Xindex,Balaban X index,Information indices
Yindex,Balaban Y index,Information indices
IC0,Information Content index (neighborhood symmetry of 0-order),Information indices
IC1,Information Content index (neighborhood symmetry of 1-order),Information indices
IC2,Information Content index (neighborhood symmetry of 2-order),Information indices
IC3,Information Content index (neighborhood symmetry of 3-order),Information indices
IC4,Information Content index (neighborhood symmetry of 4-order),Information indices
IC5,Information Content index (neighborhood symmetry of 5-order),Information indices
TIC0,Total Information Content index (neighborhood symmetry of 0-order),Information indices
TIC1,Total Information Content index (neighborhood symmetry of 1-order),Information indices
TIC2,Total Information Content index (neighborhood symmetry of 2-order),Information indices
TIC3,Total Information Content index (neighborhood symmetry of 3-order),Information indices
TIC4,Total Information Content index (neighborhood symmetry of 4-order),Information indices
TIC5,Total Information Content index (neighborhood symmetry of 5-order),Information indices
SIC0,Structural Information Content index (neighborhood symmetry of 0-order),Information indices
SIC1,Structural Information Content index (neighborhood symmetry of 1-order),Information indices
SIC2,Structural Information Content index (neighborhood symmetry of 2-order),Information indices
SIC3,Structural Information Content index (neighborhood symmetry of 3-order),Information indices
SIC4,Structural Information Content index (neighborhood symmetry of 4-order),Information indices
SIC5,Structural Information Content index (neighborhood symmetry of 5-order),Information indices
CIC0,Complementary Information Content index (neighborhood symmetry of 0-order),Information indices
CIC1,Complementary Information Content index (neighborhood symmetry of 1-order),Information indices
CIC2,Complementary Information Content index (neighborhood symmetry of 2-order),Information indices
CIC3,Complementary Information Content index (neighborhood symmetry of 3-order),Information indices
CIC4,Complementary Information Content index (neighborhood symmetry of 4-order),Information indices
CIC5,Complementary Information Content index (neighborhood symmetry of 5-order),Information indices
BIC0,Bond Information Content index (neighborhood symmetry of 0-order),Information indices
BIC1,Bond Information Content index (neighborhood symmetry of 1-order),Information indices
BIC2,Bond Information Content index (neighborhood symmetry of 2-order),Information indices
BIC3,Bond Information Content index (neighborhood symmetry of 3-order),Information indices
BIC4,Bond Information Content index (neighborhood symmetry of 4-order),Information indices
BIC5,Bond Information Content index (neighborhood symmetry of 5-order),Information indices
J_A,Balaban-like index from adjacency matrix,2D matrix-based descriptors
SpPos_A,spectral positive sum from adjacency matrix,2D matrix-based descriptors
SpPosA_A,normalized spectral positive sum from adjacency matrix,2D matrix-based descriptors
SpPosLog_A,logarithmic spectral positive sum from adjacency matrix,2D matrix-based descriptors
SpMax_A,leading eigenvalue from adjacency matrix (Lovasz-Pelikan index),2D matrix-based descriptors
SpMaxA_A,normalized leading eigenvalue from adjacency matrix,2D matrix-based descriptors
SpDiam_A,spectral diameter from adjacency matrix,2D matrix-based descriptors
SpAD_A,spectral absolute deviation from adjacency matrix,2D matrix-based descriptors
SpMAD_A,spectral mean absolute deviation from adjacency matrix,2D matrix-based descriptors
Ho_A,Hosoya-like index (log function) from adjacency matrix,2D matrix-based descriptors
EE_A,Estrada-like index (log function) from adjacency matrix,2D matrix-based descriptors
VE1_A,coefficient sum of the last eigenvector (absolute values) from adjacency matrix,2D matrix-based descriptors
VE2_A,average coefficient of the last eigenvector (absolute values) from adjacency matrix,2D matrix-based descriptors
VE3_A,logarithmic coefficient sum of the last eigenvector (absolute values) from adjacency matrix,2D matrix-based descriptors
VE1sign_A,coefficient sum of the last eigenvector from adjacency matrix,2D matrix-based descriptors
VE2sign_A,average coefficient of the last eigenvector from adjacency matrix,2D matrix-based descriptors
VE3sign_A,logarithmic coefficient sum of the last eigenvector from adjacency matrix,2D matrix-based descriptors
VR1_A,Randic-like eigenvector-based index from adjacency matrix,2D matrix-based descriptors
VR2_A,normalized Randic-like eigenvector-based index from adjacency matrix,2D matrix-based descriptors
VR3_A,logarithmic Randic-like eigenvector-based index from adjacency matrix,2D matrix-based descriptors
Wi_D,Wiener-like index from topological distance matrix (Wiener index),2D matrix-based descriptors
WiA_D,average Wiener-like index from topological distance matrix,2D matrix-based descriptors
AVS_D,average vertex sum from topological distance matrix,2D matrix-based descriptors
H_D,Harary-like index from topological distance matrix (Harary index),2D matrix-based descriptors
Chi_D,Randic-like index from topological distance matrix,2D matrix-based descriptors
ChiA_D,average Randic-like index from topological distance matrix,2D matrix-based descriptors
J_D,Balaban-like index from topological distance matrix (Balaban distance connectivity index),2D matrix-based descriptors
HyWi_D,hyper-Wiener-like index (log function) from topological distance matrix,2D matrix-based descriptors
SpPos_D,spectral positive sum from topological distance matrix,2D matrix-based descriptors
SpPosA_D,normalized spectral positive sum from topological distance matrix,2D matrix-based descriptors
SpPosLog_D,logarithmic spectral positive sum from topological distance matrix,2D matrix-based descriptors
SpMax_D,leading eigenvalue from topological distance matrix,2D matrix-based descriptors
SpMaxA_D,normalized leading eigenvalue from topological distance matrix,2D matrix-based descriptors
SpDiam_D,spectral diameter from topological distance matrix,2D matrix-based descriptors
SpAD_D,spectral absolute deviation from topological distance matrix,2D matrix-based descriptors
SpMAD_D,spectral mean absolute deviation from topological distance matrix,2D matrix-based descriptors
Ho_D,Hosoya-like index (log function) from topological distance matrix,2D matrix-based descriptors
EE_D,Estrada-like index (log function) from topological distance matrix,2D matrix-based descriptors
SM2_D,spectral moment of order 2 from topological distance matrix,2D matrix-based descriptors
SM3_D,spectral moment of order 3 from topological distance matrix,2D matrix-based descriptors
SM4_D,spectral moment of order 4 from topological distance matrix,2D matrix-based descriptors
SM5_D,spectral moment of order 5 from topological distance matrix,2D matrix-based descriptors
SM6_D,spectral moment of order 6 from topological distance matrix,2D matrix-based descriptors
VE1_D,coefficient sum of the last eigenvector (absolute values) from topological distance matrix,2D matrix-based descriptors
VE2_D,average coefficient of the last eigenvector (absolute values) from topological distance matrix,2D matrix-based descriptors
VE3_D,logarithmic coefficient sum of the last eigenvector (absolute values) from topological distance matrix,2D matrix-based descriptors
VE1sign_D,coefficient sum of the last eigenvector from topological distance matrix,2D matrix-based descriptors
VE2sign_D,average coefficient of the last eigenvector from topological distance matrix,2D matrix-based descriptors
VE3sign_D,logarithmic coefficient sum of the last eigenvector from topological distance matrix,2D matrix-based descriptors
VR1_D,Randic-like eigenvector-based index from topological distance matrix,2D matrix-based descriptors
VR2_D,normalized Randic-like eigenvector-based index from topological distance matrix,2D matrix-based descriptors
VR3_D,logarithmic Randic-like eigenvector-based index from topological distance matrix,2D matrix-based descriptors
QW_L,quasi-Wiener index (Kirchhoff number) from Laplace matrix,2D matrix-based descriptors
TI1_L,first Mohar index from Laplace matrix,2D matrix-based descriptors
TI2_L,second Mohar index from Laplace matrix,2D matrix-based descriptors
STN_L,spanning tree number (log function) from Laplace matrix,2D matrix-based descriptors
SpPos_L,spectral positive sum from Laplace matrix,2D matrix-based descriptors
SpPosA_L,normalized spectral positive sum from Laplace matrix,2D matrix-based descriptors
SpPosLog_L,logarithmic spectral positive sum from Laplace matrix,2D matrix-based descriptors
SpMax_L,leading eigenvalue from Laplace matrix,2D matrix-based descriptors
SpMaxA_L,normalized leading eigenvalue from Laplace matrix,2D matrix-based descriptors
SpDiam_L,spectral diameter from Laplace matrix,2D matrix-based descriptors
SpAD_L,spectral absolute deviation from Laplace matrix,2D matrix-based descriptors
SpMAD_L,spectral mean absolute deviation from Laplace matrix,2D matrix-based descriptors
Ho_L,Hosoya-like index (log function) from Laplace matrix,2D matrix-based descriptors
EE_L,Estrada-like index (log function) from Laplace matrix,2D matrix-based descriptors
SM2_L,spectral moment of order 2 from Laplace matrix,2D matrix-based descriptors
SM3_L,spectral moment of order 3 from Laplace matrix,2D matrix-based descriptors
SM4_L,spectral moment of order 4 from Laplace matrix,2D matrix-based descriptors
SM5_L,spectral moment of order 5 from Laplace matrix,2D matrix-based descriptors
SM6_L,spectral moment of order 6 from Laplace matrix,2D matrix-based descriptors
VE1_L,coefficient sum of the last eigenvector (absolute values) from Laplace matrix,2D matrix-based descriptors
VE2_L,average coefficient of the last eigenvector (absolute values) from Laplace matrix,2D matrix-based descriptors
VE3_L,logarithmic coefficient sum of the last eigenvector (absolute values) from Laplace matrix,2D matrix-based descriptors
VE1sign_L,coefficient sum of the last eigenvector from Laplace matrix,2D matrix-based descriptors
VE2sign_L,average coefficient of the last eigenvector from Laplace matrix,2D matrix-based descriptors
VE3sign_L,logarithmic coefficient sum of the last eigenvector from Laplace matrix,2D matrix-based descriptors
VR1_L,Randic-like eigenvector-based index from Laplace matrix,2D matrix-based descriptors
VR2_L,normalized Randic-like eigenvector-based index from Laplace matrix,2D matrix-based descriptors
VR3_L,logarithmic Randic-like eigenvector-based index from Laplace matrix,2D matrix-based descriptors
AVS_X,average vertex sum from chi matrix,2D matrix-based descriptors
H_X,Harary-like index from chi matrix,2D matrix-based descriptors
Chi_X,Randic-like index from chi matrix,2D matrix-based descriptors
ChiA_X,average Randic-like index from chi matrix,2D matrix-based descriptors
J_X,Balaban-like index from chi matrix,2D matrix-based descriptors
HyWi_X,hyper-Wiener-like index (log function) from chi matrix,2D matrix-based descriptors
SpPos_X,spectral positive sum from chi matrix,2D matrix-based descriptors
SpPosA_X,normalized spectral positive sum from chi matrix,2D matrix-based descriptors
SpPosLog_X,logarithmic spectral positive sum from chi matrix,2D matrix-based descriptors
SpMax_X,leading eigenvalue from chi matrix,2D matrix-based descriptors
SpMaxA_X,normalized leading eigenvalue from chi matrix,2D matrix-based descriptors
SpDiam_X,spectral diameter from chi matrix,2D matrix-based descriptors
SpAD_X,spectral absolute deviation from chi matrix,2D matrix-based descriptors
SpMAD_X,spectral mean absolute deviation from chi matrix,2D matrix-based descriptors
Ho_X,Hosoya-like index (log function) from chi matrix,2D matrix-based descriptors
EE_X,Estrada-like index (log function) from chi matrix,2D matrix-based descriptors
SM2_X,spectral moment of order 2 from chi matrix,2D matrix-based descriptors
SM3_X,spectral moment of order 3 from chi matrix,2D matrix-based descriptors
SM4_X,spectral moment of order 4 from chi matrix,2D matrix-based descriptors
SM5_X,spectral moment of order 5 from chi matrix,2D matrix-based descriptors
SM6_X,spectral moment of order 6 from chi matrix,2D matrix-based descriptors
VE1_X,coefficient sum of the last eigenvector (absolute values) from chi matrix,2D matrix-based descriptors
VE2_X,average coefficient of the last eigenvector (absolute values) from chi matrix,2D matrix-based descriptors
VE3_X,logarithmic coefficient sum of the last eigenvector (absolute values) from chi matrix,2D matrix-based descriptors
VE1sign_X,coefficient sum of the last eigenvector from chi matrix,2D matrix-based descriptors
VE2sign_X,average coefficient of the last eigenvector from chi matrix,2D matrix-based descriptors
VE3sign_X,logarithmic coefficient sum of the last eigenvector from chi matrix,2D matrix-based descriptors
VR1_X,Randic-like eigenvector-based index from chi matrix,2D matrix-based descriptors
VR2_X,normalized Randic-like eigenvector-based index from chi matrix,2D matrix-based descriptors
VR3_X,logarithmic Randic-like eigenvector-based index from chi matrix,2D matrix-based descriptors
Wi_H2,Wiener-like index from reciprocal squared distance matrix,2D matrix-based descriptors
WiA_H2,average Wiener-like index from reciprocal squared distance matrix,2D matrix-based descriptors
AVS_H2,average vertex sum from reciprocal squared distance matrix,2D matrix-based descriptors
Chi_H2,Randic-like index from reciprocal squared distance matrix,2D matrix-based descriptors
ChiA_H2,average Randic-like index from reciprocal squared distance matrix,2D matrix-based descriptors
J_H2,Balaban-like index from reciprocal squared distance matrix,2D matrix-based descriptors
HyWi_H2,hyper-Wiener-like index (log function) from reciprocal squared distance matrix,2D matrix-based descriptors
SpPos_H2,spectral positive sum from reciprocal squared distance matrix,2D matrix-based descriptors
SpPosA_H2,normalized spectral positive sum from reciprocal squared distance matrix,2D matrix-based descriptors
SpPosLog_H2,logarithmic spectral positive sum from reciprocal squared distance matrix,2D matrix-based descriptors
SpMax_H2,leading eigenvalue from reciprocal squared distance matrix,2D matrix-based descriptors
SpMaxA_H2,normalized leading eigenvalue from reciprocal squared distance matrix,2D matrix-based descriptors
SpDiam_H2,spectral diameter from reciprocal squared distance matrix,2D matrix-based descriptors
SpAD_H2,spectral absolute deviation from reciprocal squared distance matrix,2D matrix-based descriptors
SpMAD_H2,spectral mean absolute deviation from reciprocal squared distance matrix,2D matrix-based descriptors
Ho_H2,Hosoya-like index (log function) from reciprocal squared distance matrix,2D matrix-based descriptors
EE_H2,Estrada-like index (log function) from reciprocal squared distance matrix,2D matrix-based descriptors
SM2_H2,spectral moment of order 2 from reciprocal squared distance matrix,2D matrix-based descriptors
SM3_H2,spectral moment of order 3 from reciprocal squared distance matrix,2D matrix-based descriptors
SM4_H2,spectral moment of order 4 from reciprocal squared distance matrix,2D matrix-based descriptors
SM5_H2,spectral moment of order 5 from reciprocal squared distance matrix,2D matrix-based descriptors
SM6_H2,spectral moment of order 6 from reciprocal squared distance matrix,2D matrix-based descriptors
VE1_H2,coefficient sum of the last eigenvector (absolute values) from reciprocal squared distance matrix,2D matrix-based descriptors
VE2_H2,average coefficient of the last eigenvector (absolute values) from reciprocal squared distance matrix,2D matrix-based descriptors
VE3_H2,logarithmic coefficient sum of the last eigenvector (absolute values) from reciprocal squared distance matrix,2D matrix-based descriptors
VE1sign_H2,coefficient sum of the last eigenvector from reciprocal squared distance matrix,2D matrix-based descriptors
VE2sign_H2,average coefficient of the last eigenvector from reciprocal squared distance matrix,2D matrix-based descriptors
VE3sign_H2,logarithmic coefficient sum of the last eigenvector from reciprocal squared distance matrix,2D matrix-based descriptors
VR1_H2,Randic-like eigenvector-based index from reciprocal squared distance matrix,2D matrix-based descriptors
VR2_H2,normalized Randic-like eigenvector-based index from reciprocal squared distance matrix,2D matrix-based descriptors
VR3_H2,logarithmic Randic-like eigenvector-based index from reciprocal squared distance matrix,2D matrix-based descriptors
Wi_Dt,Wiener-like index from detour matrix (detour index),2D matrix-based descriptors
WiA_Dt,average Wiener-like index from detour matrix,2D matrix-based descriptors
AVS_Dt,average vertex sum from detour matrix,2D matrix-based descriptors
H_Dt,Harary-like index from detour matrix,2D matrix-based descriptors
Chi_Dt,Randic-like index from detour matrix,2D matrix-based descriptors
ChiA_Dt,average Randic-like index from detour matrix,2D matrix-based descriptors
J_Dt,Balaban-like index from detour matrix,2D matrix-based descriptors
HyWi_Dt,hyper-Wiener-like index (log function) from detour matrix,2D matrix-based descriptors
SpPos_Dt,spectral positive sum from detour matrix,2D matrix-based descriptors
SpPosA_Dt,normalized spectral positive sum from detour matrix,2D matrix-based descriptors
SpPosLog_Dt,logarithmic spectral positive sum from detour matrix,2D matrix-based descriptors
SpMax_Dt,leading eigenvalue from detour matrix,2D matrix-based descriptors
SpMaxA_Dt,normalized leading eigenvalue from detour matrix,2D matrix-based descriptors
SpDiam_Dt,spectral diameter from detour matrix,2D matrix-based descriptors
SpAD_Dt,spectral absolute deviation from detour matrix,2D matrix-based descriptors
SpMAD_Dt,spectral mean absolute deviation from detour matrix,2D matrix-based descriptors
Ho_Dt,Hosoya-like index (log function) from detour matrix,2D matrix-based descriptors
EE_Dt,Estrada-like index (log function) from detour matrix,2D matrix-based descriptors
SM2_Dt,spectral moment of order 2 from detour matrix,2D matrix-based descriptors
SM3_Dt,spectral moment of order 3 from detour matrix,2D matrix-based descriptors
SM4_Dt,spectral moment of order 4 from detour matrix,2D matrix-based descriptors
SM5_Dt,spectral moment of order 5 from detour matrix,2D matrix-based descriptors
SM6_Dt,spectral moment of order 6 from detour matrix,2D matrix-based descriptors
VE1_Dt,coefficient sum of the last eigenvector (absolute values) from detour matrix,2D matrix-based descriptors
VE2_Dt,average coefficient of the last eigenvector (absolute values) from detour matrix,2D matrix-based descriptors
